year,round,market,subject,line,prob,actual
2025,1,player_marks,Conor Nash,4.0,0.2640664961636828,1
2025,1,player_tackles,Conor Nash,3.0,0.7472527472527473,1
2025,1,player_tackles,Conor Nash,5.0,0.1458333333333333,1
2025,1,player_disposals,Jarman Impey,15.0,0.7209876543209874,0
2025,1,player_disposals,Jarman Impey,20.0,0.351890756302521,0
2025,1,player_disposals,Jarman Impey,25.0,0.1400795404330535,0
2025,1,player_goals,Jarman Impey,1.0,0.1922723091076356,0
2025,1,player_marks,Jarman Impey,4.0,0.7185430463576158,1
2025,1,player_marks,Jarman Impey,6.0,0.3049114933931688,0
2025,1,player_tackles,Jarman Impey,3.0,0.2029537875178656,1
2025,1,player_disposals,Jack Scrimshaw,15.0,0.7209876543209874,0
2025,1,player_disposals,Jack Scrimshaw,20.0,0.3353242320819113,0
2025,1,player_disposals,Jack Scrimshaw,25.0,0.1400795404330535,0
2025,1,player_goals,Jack Scrimshaw,1.0,0.1180795847750864,0
2025,1,player_marks,Jack Scrimshaw,4.0,0.8704663212435233,0
2025,1,player_marks,Jack Scrimshaw,6.0,0.5149136577708004,0
2025,1,player_tackles,Jack Scrimshaw,3.0,0.0626334519572953,0
2025,1,player_disposals,Nic Martin,15.0,0.9694132334581772,1
2025,1,player_disposals,Nic Martin,20.0,0.8440748440748441,1
2025,1,player_disposals,Nic Martin,25.0,0.6043587594300083,0
2025,1,player_goals,Nic Martin,1.0,0.4473567303420702,0
2025,1,player_goals,Nic Martin,2.0,0.1177446102819237,0
2025,1,player_marks,Nic Martin,4.0,0.9012658227848102,1
2025,1,player_marks,Nic Martin,6.0,0.6372759856630822,1
2025,1,player_tackles,Nic Martin,3.0,0.7202380952380952,1
2025,1,player_tackles,Nic Martin,5.0,0.12972972972973,0
2025,1,player_disposals,Zach Merrett,15.0,0.9555125725338492,1
2025,1,player_disposals,Zach Merrett,20.0,0.7915218902015289,1
2025,1,player_disposals,Zach Merrett,25.0,0.4995586937334511,1
2025,1,player_goals,Zach Merrett,1.0,0.2460152460152459,1
